stop_lon,stop_name,stop_lat,stop_id,location_type,parent_station
-0.1187405,Boola ho,5.6047662,SA5028483798,1,
-0.1200311,Lekma,5.6041248,SA5028483799,1,
-0.2274073,Mtn office / Kaneshie Roundabout,5.5602898,SA5023708438,1,
-0.1810542,37,5.5911748,4997374745,0,SA4980841300
-0.2264412,Old Melcom,5.5876185,5049651138,0,SA5049651138
-0.2981971,Fan milk junction,5.6229631,SA5051364314,1,
-0.2263295,Lebo,5.645769,SA5038307546,1,
-0.2342577,Hotel Junction,5.5280014,SA4980974763,1,
-0.288941,McCarthy Junction,5.5655092,4739843023,0,SA4739843023
-0.2390114,Mataheko,5.5604305,5111702008,0,SA5111702008
-0.2166703,Ashongman,5.5742577,5049651137,0,SA5049651137
-0.1154929,Tsui Bleoo,5.606019,SA5028483797,1,
-0.2981119,Ice water junction,5.6314742,SA5051364320,1,
-0.1812075,Ecobank,5.5899463,SA4977864532,1,
-0.2288011,School Junction,5.5676914,SA5045157926,1,
-0.1666827,UPS,5.6598598,SA4988349723,1,
-0.2695391,First Gate,5.5613939,SA5087268451,1,
-0.2130924,Overhead Second Stop,5.5711445,5054364800,0,SA5054364800
-0.3103452,Add a name to the stop with JungleBus app,5.7231592,SA5020021367,1,
-0.3138179,Pobiman,5.7352477,SA5020021366,1,
-0.2685937,Kwashieman,5.5921722,5043423430,0,SA5008726860
-0.2781679,A Lang,5.5977924,5043423431,0,SA5043423431
-0.2362948,ABC Junction,5.6291763,SA5020021369,1,
-0.2396654,Mile 7,5.6344511,SA5020021368,1,
-0.2619972,Walaako,5.6256768,5040742577,0,SA5024610760
-0.2181552,Alajo,5.5879415,4990070162,0,SA4990070162
-0.2637628,Israel Junction,5.6306672,5040742579,0,SA5040597424
-0.2133875,Sadisco,5.5756979,SA5047059648,1,
-0.0143521,Community 6,5.6577598,5097648858,0,SA5097648858
-0.1761758,Post Office,5.5853445,SA4995095759,1,
-0.1725142,Labone,5.5621452,SA2961513337,1,
-0.2109196,Abelenkpe Junction,5.6099334,4980841295,0,SA4980841295
-0.0134427,Community 4,5.6554354,5097648859,0,SA5097648859
-0.1801477,Power House,5.6560636,4972575680,0,SA4972575680
-0.1789525,UPS,5.6590934,4997374749,0,SA4997071027
-0.2397888,Zongo Junction,5.5577934,SA4980974735,1,
-0.1958124,Presby,5.6139249,SA5047059647,1,
