trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
45,06:12:49,06:12:49,5025334219,23,,,,,
45,06:13:00,06:13:00,5025202269,24,,,,,
42,06:00:00,06:00:00,5037648958,1,,,,,
42,06:04:18,06:04:18,5023802897,2,,,,,
42,06:05:48,06:05:48,5023802910,3,,,,,
42,06:06:26,06:06:26,5023802909,4,,,,,
42,06:07:13,06:07:13,5026574425,5,,,,,
42,06:07:54,06:07:54,5026574424,6,,,,,
42,06:08:54,06:08:54,5026574423,7,,,,,
42,06:10:01,06:10:01,5026574422,8,,,,,
42,06:11:06,06:11:06,5024437370,9,,,,,
42,06:12:19,06:12:19,5024437369,10,,,,,
42,06:13:18,06:13:18,5024437368,11,,,,,
42,06:15:18,06:15:18,4995193050,12,,,,,
42,06:16:00,06:16:00,4995193049,13,,,,,
43,06:00:00,06:00:00,4995193049,1,,,,,
43,06:03:37,06:03:37,5037690457,2,,,,,
43,06:05:49,06:05:49,5037690448,3,,,,,
43,06:06:39,06:06:39,5037690456,4,,,,,
43,06:08:29,06:08:29,5037690455,5,,,,,
43,06:10:12,06:10:12,5037690454,6,,,,,
43,06:11:11,06:11:11,5037690453,7,,,,,
43,06:13:00,06:13:00,5037690452,8,,,,,
40,06:00:00,06:00:00,5024693061,1,,,,,
40,06:02:42,06:02:42,5082971645,2,,,,,
40,06:06:46,06:06:46,5023043119,3,,,,,
40,06:09:40,06:09:40,4985315422,4,,,,,
40,06:15:28,06:15:28,5013113666,5,,,,,
40,06:25:21,06:25:21,5037177372,6,,,,,
40,06:27:17,06:27:17,5031022750,7,,,,,
40,06:30:03,06:30:03,5025015474,8,,,,,
40,06:31:28,06:31:28,5025015473,9,,,,,
40,06:34:33,06:34:33,5025015472,10,,,,,
40,06:36:54,06:36:54,5027285561,11,,,,,
40,06:39:58,06:39:58,4996742719,12,,,,,
40,06:41:42,06:41:42,5027285560,13,,,,,
40,06:44:06,06:44:06,4996742718,14,,,,,
40,06:46:46,06:46:46,4996742717,15,,,,,
40,06:48:29,06:48:29,4996742716,16,,,,,
40,06:50:00,06:50:00,4996742714,17,,,,,
41,06:00:00,06:00:00,4996742714,1,,,,,
41,06:01:34,06:01:34,4996770218,2,,,,,
41,06:04:14,06:04:14,4996770217,3,,,,,
41,06:07:34,06:07:34,4996770216,4,,,,,
41,06:09:57,06:09:57,5027303270,5,,,,,
41,06:12:12,06:12:12,5027303269,6,,,,,
41,06:15:13,06:15:13,5082993461,7,,,,,
41,06:16:07,06:16:07,5082993460,8,,,,,
41,06:19:13,06:19:13,5082993459,9,,,,,
41,06:22:31,06:22:31,5082993458,10,,,,,
41,06:26:23,06:26:23,5082993457,11,,,,,
41,06:29:54,06:29:54,5013113665,12,,,,,
41,06:36:25,06:36:25,5082993456,13,,,,,
41,06:39:40,06:39:40,5082619900,14,,,,,
41,06:41:54,06:41:54,5082619899,15,,,,,
41,06:46:44,06:46:44,5082993455,16,,,,,
41,06:50:00,06:50:00,5082613245,17,,,,,
5,06:00:00,06:00:00,5005343801,1,,,,,
5,06:08:00,06:08:00,5036565850,2,,,,,
5,06:15:12,06:15:12,4977985923,3,,,,,
5,06:20:48,06:20:48,5036565849,4,,,,,
