route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
7463356,541,0,7463339,1,Achimota
7563536,546,0,7563473,0,Zamrama Line
7563536,547,0,7563496,1,Accra New Tema Station
7563714,544,0,7563654,0,Chemuna
7563714,545,0,7563692,1,Accra Rawlings Park
7541891,8,0,7541816,0,Mayera/Adusa
7480396,548,0,7480395,0,Nima - Maamobi
7480396,549,0,7480355,1,Circle
7467938,68,0,7467775,0,Fadama Last stop
7479896,120,0,7479872,0,Pigfarm
7479896,121,0,7479893,1,Circle
7548984,122,0,7548867,0,Manhean
7548984,123,0,7548979,1,Accra CMB
7549788,124,0,7549754,0,Odorkor
7549788,125,0,7549779,1,Accra CMB
7442241,126,0,7442032,0,Teshie Nungua
7442241,127,0,7442237,1,Abeka Lapaz
7549831,128,0,7549814,0,Omanjor
7549831,129,0,7549829,1,Accra CMB
7574385,414,0,7574384,0,Opetekwei
7574385,415,0,7574368,1,Circle
7461641,416,0,7461550,0,Opetekwei
7461641,417,0,7461508,1,Accra New Tema Station
7579940,410,0,7579927,0,Okponglo
7579940,411,0,7579862,1,Christian Centre
7586572,412,0,7586571,0,Agbogbloshie
7586572,413,0,7586567,1,Opetekwei
7418141,498,0,7416294,0,Sakumono Estate
7605813,418,0,7605745,0,Orgle Street
7605813,419,0,7605686,1,Kaneshie
7418141,499,0,7418029,1,Abeka Lapaz
7518807,319,0,7518804,1,Abeka Lapaz
7518807,318,0,7518611,0,Amasaman
7584515,313,0,7584510,1,Accra New Tema Station
7584515,312,0,7584453,0,Pigfarm
7502383,311,0,7502371,1,Accra New Tema Station
7502383,310,0,7502108,0,Dzorwulu
7481516,317,0,7481510,1,Abeka Lapaz
7481516,316,0,7481499,0,Awoshie
7584600,315,0,7584596,1,Abeka Lapaz
7584600,314,0,7584548,0,Ashongman
7451505,496,0,7451462,0,Six to Six Market
7451505,497,0,7451488,1,Abeka Lapaz
7473825,3,0,7473822,1,Achimota
7594861,368,0,7594860,0,Nima Station
7594861,369,0,7594789,1,Agbogbloshie
7467291,366,0,7467149,0,Sukura Station
7467291,367,0,7467238,1,Nima Overhead
7456493,364,0,7456456,0,Asofan
7456493,365,0,7456492,1,Abeka Lapaz
7594749,362,0,7593390,0,Pokuase Amasaman
7594749,363,0,7594733,1,Nima Overhead
7585974,360,0,7585935,0,Nima Overhead
7585974,361,0,7585780,1,Mallam
7432164,380,0,7431880,0,Kotobabi Down
7432164,381,0,7432100,1,Accra New Tema Station
7432489,382,0,7432263,0,Madina/Adenta
7432489,383,0,7432422,1,Circle Odorna
7463528,384,0,7463516,0,Odorna
7463528,385,0,7463403,1,Nima Mamobi
7605661,386,0,7605660,0,Odorna
7605661,387,0,7605625,1,Nungua
7502905,388,0,7502705,0,Nungua
7502905,389,0,7502901,1,Circle Odorna
7439593,60,0,7437182,0,Kasoa
7439593,61,0,7437218,1,Abeka Lapaz
7485244,258,0,7485198,0,Kwashieman Junction
7485244,259,0,7485090,1,Accra CMB
7473843,64,0,7473842,0,Circle
7473843,65,0,7473828,1,Asore Danho
7439761,66,0,7439696,0,Kotokuo
7439761,67,0,7439745,1,Abeka Lapaz
7485398,252,0,7485396,0,Kwashieman
7467938,69,0,7467835,1,Circle
7485324,250,0,7485322,0,Kwashieman
7485324,251,0,7485266,1,A Lang
7582474,256,0,7582466,0,Madina
7582474,257,0,7582417,1,Kwashieman
7485408,254,0,7485406,0,Kwashieman
7485408,255,0,7485401,1,Abeka Lapaz
7436193,508,0,7435911,0,Taifa
7436193,509,0,7436014,1,Abeka Lapaz
7465665,506,0,7464613,0,Nima
7465665,507,0,7465662,1,Accra
7473312,504,0,7473233,0,Darkuman
7473312,505,0,7473304,1,Accra
7501604,502,0,7501558,0,Kasoa
7501604,503,0,7501597,1,Abossey-Okai
7559234,500,0,7559191,0,Accra
7559234,501,0,7559224,1,Abelemkpe
7571264,469,0,7571256,1,Accra New Tema Station
7571264,468,0,7571239,0,Camara
7559071,465,0,7558983,1,Abeka Lapaz
7559071,464,0,7558873,0,Manhia Afuaman
7458324,467,0,7458272,1,Abeka Lapaz
7458324,466,0,7458035,0,Mayera
7458358,461,0,7458155,1,Kaneshie Station
7458358,460,0,7458319,0,Tabora Alhaji
7443866,463,0,7443865,1,Abeka Lapaz
